"","S1","S2","S3","S4","S5","S6","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11"
"1",0,0.621082371305231,0.106340922992495,0,0.096733621123751,0,0.008789661342411,0,0,0,0,0,0,0,0,0,0
"2",0.621082371305231,0,0.228530489854413,0.121307858347664,0.112346647276549,0,0,0,0,0,0.0044057548364928,0,0,0.0225383592665514,-0.00786197315920964,-0.0177426880910048,0
"3",0.106340922992495,0.228530489854413,0,0.168860735984402,0.145464756971183,0.0979355238046367,0,0,0,0,0,0.0436141104935979,0,0,0,-0.0359076885479233,0
"4",0,0.121307858347664,0.168860735984402,0,0.291009436836596,0.119713295239923,0.0554584118755921,0,0.00744238210422838,0.00796244566953688,0,0,0.0014565914583747,0,0.00462610965312152,0.00312520013799974,0
"5",0.096733621123751,0.112346647276549,0.145464756971183,0.291009436836596,0,0.181763819239938,0,0.0206694271322033,0,0.0194909577249823,0,0,0,0.0374962331329429,0,0,0
"6",0,0,0.0979355238046367,0.119713295239923,0.181763819239938,0,0.024184454167179,0,0,0.0388248667864202,0,0,0.0130129010558988,-0.0241654256435017,0.013990441878293,0.0936921290933447,0.0160949212711187
"7",0.008789661342411,0,0,0.0554584118755921,0,0.024184454167179,0,0.233391058605835,0,0.0874414541695488,0.0533224201784661,0.174364513092904,0.0667457115947127,0.096303005000378,0.0378746803647451,0,0.0698453693286369
"8",0,0,0,0,0.0206694271322033,0,0.233391058605835,0,0.122363168130733,0.136920670444271,0.0291919499147678,0,0.166869404633262,0.0739826345237249,0.119397387069068,0.0645054605669656,0.103918995135509
"9",0,0,0,0.00744238210422838,0,0,0,0.122363168130733,0,0.270179386566983,0.0177265451892641,0.142513949471465,0.123492502729874,0.0641417947429683,0.235157867374081,0,0
"10",0,0,0,0.00796244566953688,0.0194909577249823,0.0388248667864202,0.0874414541695488,0.136920670444271,0.270179386566983,0,0.100526098784732,0.114654112211778,0.0210647343699627,0,0.0482023801583322,0.0237372393517213,0.0689410545462587
"11",0,0.0044057548364928,0,0,0,0,0.0533224201784661,0.0291919499147678,0.0177265451892641,0.100526098784732,0,0.16020259814781,0,0.290941048444598,0.102618748860231,0,0.0827623704979808
"12",0,0,0.0436141104935979,0,0,0,0.174364513092904,0,0.142513949471465,0.114654112211778,0.16020259814781,0,0.157461339798656,0,0.0342342911873387,0.154711457985957,0.0404661975181306
"13",0,0,0,0.0014565914583747,0,0.0130129010558988,0.0667457115947127,0.166869404633262,0.123492502729874,0.0210647343699627,0,0.157461339798656,0,0.0156883215047164,0.0348718263886467,0.117711680793692,0.177115184688919
"14",0,0.0225383592665514,0,0,0.0374962331329429,-0.0241654256435017,0.096303005000378,0.0739826345237249,0.0641417947429683,0,0.290941048444598,0,0.0156883215047164,0,0.142510276354705,0,0.0978459771109784
"15",0,-0.00786197315920964,0,0.00462610965312152,0,0.013990441878293,0.0378746803647451,0.119397387069068,0.235157867374081,0.0482023801583322,0.102618748860231,0.0342342911873387,0.0348718263886467,0.142510276354705,0,0.0901401155592808,0.15578585709036
"16",0,-0.0177426880910048,-0.0359076885479233,0.00312520013799974,0,0.0936921290933447,0,0.0645054605669656,0,0.0237372393517213,0,0.154711457985957,0.117711680793692,0,0.0901401155592808,0,0.363204647418263
"17",0,0,0,0,0,0.0160949212711187,0.0698453693286369,0.103918995135509,0,0.0689410545462587,0.0827623704979808,0.0404661975181306,0.177115184688919,0.0978459771109784,0.15578585709036,0.363204647418263,0
